,id,author,audio_url
,UFO123 Arrrrr!,Denis,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO123_Intro%20von%20Denis.mp3
,UFO125 Rauchen,Chris,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO125_Intro%20von%20Chris.mp3
,UFO126 Pyramiden,Fritz Frittenfett,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO126_Intro%20von%20Fritz%20Frittenfett.mp3
,UFO127 Dachau,Simon,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO127_Intro%20von%20Simon.mp3
,UFO129 Ein Fuchs geht nicht ins Krankenhaus,Lisa,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO129_Intro%20von%20Lisa.mp3
,UFO130 Eier,Lennart,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO130_Intro%20von%20Lennart.mp3
,"UFO132 Stefan Titze, ich find‘ du bist n’toller Typ!",Den Solo,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO132_Intro%20von%20Den%20Solo.mp3
,UFO133 Denar,Moritz,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO133_Intro%20von%20Moritz.mp3
,UFO134 Bochum Hotel,Leon,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO134_Intro%20von%20Leon.mp3
,UFO135 Booty,André,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO135_Intro%20von%20Andr%C3%A9.mp3
,UFO136 AIDS,Felix,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO136_Intro%20von%20Felix.mp3
,UFO137 Who are you when no one’s watching?,Valentin,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO137_Intro%20von%20Valentin.mp3
,UFO138 Gute Nacht,Sören,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO138_Intro%20von%20S%C3%B6ren.mp3
,UFO139 Es regnet,Jannis,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO139_Intro%20von%20Jannis.mp3
,UFO140 Ganz schön voll hier,Sophie,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO140_Intro%20von%20Sophie.mp3
,UFO141 Sinnentleertes Lustwandeln,Justus,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO141_Intro%20von%20Justus.mp3
,UFO142 Nachbarn,Marc,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO142_Intro%20von%20Marc.mp3
,UFO143 Ohayō,Markus,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO143_Intro%20von%20Markus.mp3
,UFO144 Pferd,Christoph,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO144_Intro%20von%20Christoph.mp3
,UFO145 Bestellung,Richard,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO145_Intro%20von%20Richard.mp3
,UFO148 Draußen,Fabian,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO148_Intro%20von%20Fabian.mp3
,UFO149 Fehlkunst,Sebastian (animiert von Lara),https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO149_Intro%20von%20Sebastian%20%28animiert%20von%20Lara%29.mp3
,UFO150 Maya,Chris,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO150_Intro%20von%20Chris.mp3
,"UFO152 Van Gogh, Picasso",Waldi Wollo,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO152_Intro%20von%20Waldi%20Wollo.mp3
,UFO153 Bademantel,Nico,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO153_Intro%20von%20Nico.mp3
,UFO156 Schuhu,Michael,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO156_Intro%20von%20Michael.mp3
,UFO157 IS THE MOON CRASHING INTO EARTH?,Florian,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO157_Intro%20von%20Florian.mp3
,UFO158 Katzendemos,Markus,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO158_Intro%20von%20Markus.mp3
,UFO159 Sambazamba,Leon,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO159_Intro%20von%20Leon.mp3
,UFO161 Zeppelin,Florian,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO161_Intro%20von%20Florian.mp3
,UFO162 Feuerwehr,Annabell & Sir N,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO162_Intro%20von%20Annabell%20%26%20Sir%20N.mp3
,UFO164 Queue,Ben (von Rocket Beans TV),https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO164_Intro%20von%20Ben%20%28von%20Rocket%20Beans%20TV%29.mp3
,UFO165 Trüffel,Lukas,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO165_Intro%20von%20Lukas.mp3
,UFO166 Dreier,Ferdinand,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO166_Intro%20von%20Ferdinand.mp3
,UFO167 Guten Morgen,Iruka,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO167_Intro%20von%20Iruka.mp3
,UFO168 Hobby,David Gee,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO168_Intro%20von%20David%20Gee.mp3
,UFO170 FHP,Debbie,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO170_Intro%20von%20Debbie.mp3
,UFO171 Wringen,Lars,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO171_Intro%20von%20Lars.mp3
,UFO173 Bien,Clemens,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO173_Intro%20von%20Clemens.mp3
,UFO174 Giulia Becker,Tobi,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO174_Intro%20von%20Tobi.mp3
,UFO176 T-Rex,Maximilian,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO176_Intro%20von%20Maximilian.mp3
,UFO177 KI,Malte,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO177_Intro%20von%20Malte.mp3
,UFO178 Schnuffeltuch,Chris,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO178_Intro%20von%20Chris.mp3
,UFO179 Mein Beileid,Felix,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO179_Intro%20von%20Felix.mp3
,"UFO180 Ja, ich kleckere!",Max,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO180_Intro%20von%20Max.mp3
,UFO181 Zapata,Micha,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO181_Intro%20von%20Micha.mp3
,UFO182 Enisratdul,Maximilian,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO182_Intro%20von%20Maximilian.mp3
,UFO183 Ratschläge,Leonard und Jano,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO183_Intro%20von%20Leonard%20und%20Jano.mp3
,UFO184 Nee,Der Podcast Udo & Till & Eid Otter,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO184_Intro%20von%20Der%20Podcast%20Udo%20%26%20Till%20%26%20Eid%20Otter.mp3
,UFO185 Schuld Ich,Marcel,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO185_Intro%20von%20Marcel.mp3
,UFO186 Überraschung!,Christoph,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO186_Intro%20von%20Christoph.mp3
,UFO187 Hall all all,Trommel-Torben und Polter-Holger,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO187_Intro%20von%20Trommel-Torben%20und%20Polter-Holger.mp3
,UFO188 thispodcastdoesnotexist,Lothar,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO188_Intro%20von%20Lothar.mp3
,UFO189 Antenne Afrika,Tobias,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO189_Intro%20von%20Tobias.mp3
,UFO190 Morgenstund,Erik,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO190_Intro%20von%20Erik.mp3
,UFO191 Rollegg,Kim und Sebbi,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO191_Intro%20von%20Kim%20und%20Sebbi.mp3
,UFO192 Luminol,Julius,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO192_Intro%20von%20Julius.mp3
,UFO193 Spit,Daniel,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO193_Intro%20von%20Daniel.mp3
,UFO195 Pufohub,MC Schmied,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO195_Intro%20von%20MC%20Schmied.mp3
,UFO196 Kinnruck,Leon,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO196_Intro%20von%20Leon.mp3
,UFO197 Kompliment!,Michael aka Leafgreen,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO197_Intro%20von%20Michael%20aka%20Leafgreen.mp3
,UFO199 Parfumkreis,Christoph,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO199_Intro%20von%20Christoph.mp3
,UFO200 Zweihundert,Tobias,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO200_Intro%20von%20Tobias.mp3
,UFO201 Hilarius,Leander,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO201_Intro%20von%20Leander.mp3
,UFO202 Superman 3,Malte,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO202_Intro%20von%20Malte.mp3
,UFO204 Abenteuer,"Ruth, Rebecca und ihren Tonmeister Philipp",https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO204_Intro%20von%20Ruth%2C%20Rebecca%20und%20ihren%20Tonmeister%20Philipp.mp3
,UFO205 Knall,Kristina,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO205_Intro%20von%20Kristina.mp3
,UFO206 BTHVN,Nele und Max,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO206_Intro%20von%20Nele%20und%20Max.mp3
,UFO207 Worstbird,Caveman Coba & Cripple X,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO207_Intro%20von%20Caveman%20Coba%20%26%20Cripple%20X.mp3
,UFO208 50 Dollar,Yannick,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO208_Intro%20von%20Yannick.mp3
,UFO209 Dramatically,Hannes,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO209_Intro%20von%20Hannes.mp3
,UFO210 Zu Berge,Daniel,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO210_Intro%20von%20Daniel.mp3
,UFO211 Assistant to Mr. Titze,Tobi,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO211_Intro%20von%20Tobi.mp3
,UFO212 Shaggy Shillok Sherlock,Damian,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO212_Intro%20von%20Damian.mp3
,UFO213 Rest,Markus,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO213_Intro%20von%20Markus.mp3
,UFO214 Betreff,Rafael,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO214_Intro%20von%20Rafael.mp3
,UFO215 Manolo,Yung Urheber,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO215_Intro%20von%20Yung%20Urheber.mp3
,UFO216 Stellt sich raus,Camilo,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO216_Intro%20von%20Camilo.mp3
,UFO217 T-Minus,Daniel,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO217_Intro%20von%20Daniel.mp3
,UFO218 Bon of Love,Daniel (mit Outro von Hans),https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO218_Intro%20von%20Daniel%20%28mit%20Outro%20von%20Hans%29.mp3
,UFO219 Not so Fast,Caveman Coba & Cripple X,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO219_Intro%20von%20Caveman%20Coba%20%26%20Cripple%20X.mp3
,UFO220 Apfelmove,Alex,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO220_Intro%20von%20Alex.mp3
,UFO221 Cortez,Tim,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO221_Intro%20von%20Tim.mp3
,UFO222 Blumen,Yannick,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO222_Intro%20von%20Yannick.mp3
,UFO223 Dauerwelle,Annabell und Johannes,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO223_Intro%20von%20Annabell%20und%20Johannes.mp3
,UFO224 Bamborghini,Nils,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO224_Intro%20von%20Nils.mp3
,UFO225 An den Pranger stellen,Julian,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO225_Intro%20von%20Julian.mp3
,UFO226 So viel Zeit muss sein,Niklas,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO226_Intro%20von%20Niklas.mp3
,UFO227 Dortig,Timo,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO227_Intro%20von%20Timo.mp3
,UFO228 Lapis Lazuli,Simon,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO228_Intro%20von%20Simon.mp3
,UFO229 Klemmbau,Ice Bär,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO229_Intro%20von%20Ice%20B%C3%A4r.mp3
,UFO230 Wildwasser,Marcus,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO230_Intro%20von%20Marcus.mp3
,UFO231 Lecker Mate,Caveman Coba & Cripple X,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO231_Intro%20von%20Caveman%20Coba%20%26%20Cripple%20X.mp3
,UFO232 Schotten,Josch,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO232_Intro%20von%20Josch.mp3
,UFO233 Krake,Lothar,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO233_Intro%20von%20Lothar.mp3
,UFO234 Vierkäse,Sina und Marla,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO234_Intro%20von%20Sina%20und%20Marla.mp3
,UFO235 Eisbär,Tobias,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO235_Intro%20von%20Tobias.mp3
,UFO236 OJ,Finn,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO236_Intro%20von%20Finn.mp3
,UFO237 Kugelfisch,Philipp,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO237_Intro%20von%20Philipp.mp3
,UFO238 89,Max,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO238_Intro%20von%20Max.mp3
,UFO239 Motannenbau,Simon,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO239_Intro%20von%20Simon.mp3
,UFO240 IQ,Patrick,https://ia600804.us.archive.org/15/items/dpu-intro-archiv/UFO240_Intro%20von%20Patrick.mp3
