,Name,Veröffentlichungsdatum,AutorInnen,Länge in s,Länge in m,Link
,UFO123 Arrrrr!,25.01.2018,Denis,"24,32",0:24,https://archive.org/download/dpu-intro-archiv/UFO123_Intro%20von%20Denis.mp3
,UFO125 Rauchen,08.02.2018,Chris,"21,56",0:21,https://archive.org/download/dpu-intro-archiv/UFO125_Intro%20von%20Chris.mp3
,UFO126 Pyramiden,22.02.2018,Fritz Frittenfett,"29,09",0:29,https://archive.org/download/dpu-intro-archiv/UFO126_Intro%20von%20Fritz%20Frittenfett.mp3
,UFO127 Dachau,01.03.2018,Simon,"14,33",0:14,https://archive.org/download/dpu-intro-archiv/UFO127_Intro%20von%20Simon.mp3
,UFO129 Ein Fuchs geht nicht ins Krankenhaus,23.03.2018,Lisa,"10,95",0:10,https://archive.org/download/dpu-intro-archiv/UFO129_Intro%20von%20Lisa.mp3
,UFO130 Eier,31.03.2018,Lennart,"22,54",0:22,https://archive.org/download/dpu-intro-archiv/UFO130_Intro%20von%20Lennart.mp3
,"UFO132 Stefan Titze, ich find‘ du bist n’toller Typ!",25.04.2018,Den Solo,"43,05",0:43,https://archive.org/download/dpu-intro-archiv/UFO132_Intro%20von%20Den%20Solo.mp3
,UFO133 Denar,03.05.2018,Moritz,"27,11",0:27,https://archive.org/download/dpu-intro-archiv/UFO133_Intro%20von%20Moritz.mp3
,UFO134 Bochum Hotel,12.05.2018,Leon,"10,58",0:10,https://archive.org/download/dpu-intro-archiv/UFO134_Intro%20von%20Leon.mp3
,UFO135 Booty,18.05.2018,André,"34,4",0:34,https://archive.org/download/dpu-intro-archiv/UFO135_Intro%20von%20Andr%C3%A9.mp3
,UFO136 AIDS,24.05.2018,Felix,"11,99",0:11,https://archive.org/download/dpu-intro-archiv/UFO136_Intro%20von%20Felix.mp3
,UFO137 Who are you when no one’s watching?,01.06.2018,Valentin,"39,21",0:39,https://archive.org/download/dpu-intro-archiv/UFO137_Intro%20von%20Valentin.mp3
,UFO138 Gute Nacht,13.06.2018,Sören,"6,26",0:06,https://archive.org/download/dpu-intro-archiv/UFO138_Intro%20von%20S%C3%B6ren.mp3
,UFO139 Es regnet,21.06.2018,Jannis,"19,73",0:19,https://archive.org/download/dpu-intro-archiv/UFO139_Intro%20von%20Jannis.mp3
,UFO140 Ganz schön voll hier,09.07.2018,Sophie,"60,06",1:00,https://archive.org/download/dpu-intro-archiv/UFO140_Intro%20von%20Sophie.mp3
,UFO141 Sinnentleertes Lustwandeln,19.07.2018,Justus,"10,19",0:10,https://archive.org/download/dpu-intro-archiv/UFO141_Intro%20von%20Justus.mp3
,UFO142 Nachbarn,19.08.2018,Marc,"8,96",0:08,https://archive.org/download/dpu-intro-archiv/UFO142_Intro%20von%20Marc.mp3
,UFO143 Ohayō,23.08.2018,Markus,"21,24",0:21,https://archive.org/download/dpu-intro-archiv/UFO143_Intro%20von%20Markus.mp3
,UFO144 Pferd,02.09.2018,Christoph,"33,65",0:33,https://archive.org/download/dpu-intro-archiv/UFO144_Intro%20von%20Christoph.mp3
,UFO145 Bestellung,08.09.2018,Richard,"32,89",0:32,https://archive.org/download/dpu-intro-archiv/UFO145_Intro%20von%20Richard.mp3
,UFO148 Draußen,25.10.2018,Fabian,"17,06",0:17,https://archive.org/download/dpu-intro-archiv/UFO148_Intro%20von%20Fabian.mp3
,UFO149 Fehlkunst,01.11.2018,Sebastian (animiert von Lara),"20,11",0:20,https://archive.org/download/dpu-intro-archiv/UFO149_Intro%20von%20Sebastian%20%28animiert%20von%20Lara%29.mp3
,UFO150 Maya,16.11.2018,Chris,"8,7",0:08,https://archive.org/download/dpu-intro-archiv/UFO150_Intro%20von%20Chris.mp3
,"UFO152 Van Gogh, Picasso",08.11.2019,Waldi Wollo,"27,69",0:27,https://archive.org/download/dpu-intro-archiv/UFO152_Intro%20von%20Waldi%20Wollo.mp3
,UFO153 Bademantel,07.12.2018,Nico,"18,4",0:18,https://archive.org/download/dpu-intro-archiv/UFO153_Intro%20von%20Nico.mp3
,UFO156 Schuhu,28.01.2019,Michael,"30,25",0:30,https://archive.org/download/dpu-intro-archiv/UFO156_Intro%20von%20Michael.mp3
,UFO157 IS THE MOON CRASHING INTO EARTH?,10.02.2019,Florian,"17,68",0:17,https://archive.org/download/dpu-intro-archiv/UFO157_Intro%20von%20Florian.mp3
,UFO158 Katzendemos,14.02.2019,Markus,"24,82",0:24,https://archive.org/download/dpu-intro-archiv/UFO158_Intro%20von%20Markus.mp3
,UFO159 Sambazamba,22.02.2019,Leon,"25,23",0:25,https://archive.org/download/dpu-intro-archiv/UFO159_Intro%20von%20Leon.mp3
,UFO161 Zeppelin,09.03.2019,Florian,"40,1",0:40,https://archive.org/download/dpu-intro-archiv/UFO161_Intro%20von%20Florian.mp3
,UFO162 Feuerwehr,14.03.2019,Annabell & Sir N,"14,72",0:14,https://archive.org/download/dpu-intro-archiv/UFO162_Intro%20von%20Annabell%20%26%20Sir%20N.mp3
,UFO164 Queue,29.03.2019,Ben (von Rocket Beans TV),"27,14",0:27,https://archive.org/download/dpu-intro-archiv/UFO164_Intro%20von%20Ben%20%28von%20Rocket%20Beans%20TV%29.mp3
,UFO165 Trüffel,05.04.2019,Lukas,"17,58",0:17,https://archive.org/download/dpu-intro-archiv/UFO165_Intro%20von%20Lukas.mp3
,UFO166 Dreier,19.04.2019,Ferdinand,"20,3",0:20,https://archive.org/download/dpu-intro-archiv/UFO166_Intro%20von%20Ferdinand.mp3
,UFO167 Guten Morgen,25.04.2019,Iruka,"19,1",0:19,https://archive.org/download/dpu-intro-archiv/UFO167_Intro%20von%20Iruka.mp3
,UFO168 Hobby,04.05.2019,David Gee,"67,32",1:07,https://archive.org/download/dpu-intro-archiv/UFO168_Intro%20von%20David%20Gee.mp3
,UFO170 FHP,20.05.2019,Debbie,"29,26",0:29,https://archive.org/download/dpu-intro-archiv/UFO170_Intro%20von%20Debbie.mp3
,UFO171 Wringen,25.05.2019,Lars,"36,99",0:36,https://archive.org/download/dpu-intro-archiv/UFO171_Intro%20von%20Lars.mp3
